City,State,Cost of Living Index,Cost Category
Jackson,TN,85.2,Low
Jacksonville,FL,99.0,Medium
Jacksonville,NC,91.7,Medium
Jamestown,NY,91.3,Medium
Janesville,WI,89.8,Low
Jefferson City,MO,86.3,Low
Johnson City,TN,88.1,Low
Johnstown,PA,87.6,Low
Jonesboro,AR,85.2,Low
Joplin,MO,85.2,Low
Kahului,HI,158.5,High
Kalamazoo,MI,89.3,Low
Kalispell,MT,112.7,High
Kankakee,IL,91.0,Medium
Kansas City,MO,91.6,Medium
Kapaa,HI,164.9,High
Keene,NH,102.1,High
Kennewick,WA,99.7,Medium
Key West,FL,140.0,High
Killeen,TX,88.6,Low
Kingsport,TN,86.0,Low
Kingston,NY,106.1,High
Klamath Falls,OR,97.1,Medium
Knoxville,TN,91.6,Medium
Kokomo,IN,84.9,Low
La Crosse,WI,91.8,Medium
Lafayette,LA,89.6,Low
LaGrange,GA,86.0,Low
Lake Charles,LA,89.4,Low
Lake City,FL,93.6,Medium
Lake Havasu City,AZ,98.4,Medium
Lakeland,FL,96.4,Medium
Lancaster,PA,99.5,Medium
Lansing,MI,88.7,Low
Laredo,TX,90.1,Medium
Las Cruces,NM,88.8,Low
Las Vegas,NV,100.7,High
Laurel,MS,85.9,Low
Lawrence,KS,91.6,Medium
Lawton,OK,82.8,Low
Lebanon,PA,95.4,Medium
Lewiston,ID,92.5,Medium
Lewiston,ME,99.7,Medium
Lexington,KY,91.1,Medium
Lima,OH,87.2,Low
Lincoln,NE,94.7,Medium
Little Rock,AR,88.0,Low
London,KY,84.6,Low
Longview,TX,88.5,Low
Longview,WA,101.6,High
Lubbock,TX,88.8,Low
Lufkin,TX,88.2,Low
Lumberton,NC,83.4,Low
Lynchburg,VA,93.6,Medium
Macon,GA,87.2,Low
Madera,CA,108.9,High
Madison,WI,99.5,Medium
Manchester,NH,109.6,High
Manhattan,KS,89.6,Low
Manitowoc,WI,87.8,Low
Mankato,MN,95.3,Medium
Mansfield,OH,86.2,Low
Marinette,WI,86.6,Low
Marion,IN,81.8,Low
Marion,OH,85.7,Low
Marquette,MI,91.3,Medium
Marshall,TX,89.9,Low
Martinsville,VA,85.0,Low
McAllen,TX,86.0,Low
Meadville,PA,88.5,Low
Medford,OR,107.5,High
Memphis,TN,88.2,Low
Merced,CA,108.2,High
Meridian,MS,82.0,Low
Michigan City,IN,87.8,Low
Midland,MI,87.0,Low
Midland,TX,97.8,Medium
Milwaukee,WI,93.8,Medium
Minot,ND,90.7,Medium
Missoula,MT,103.4,High
Mobile,AL,88.3,Low
Modesto,CA,112.3,High
Monroe,LA,86.5,Low
Monroe,MI,90.5,Medium
Montgomery,AL,88.5,Low
Morehead City,NC,102.2,High
Morgantown,WV,88.5,Low
Morristown,TN,87.3,Low
Moses Lake,WA,95.7,Medium
Mount Airy,NC,89.0,Low
Mount Pleasant,MI,86.8,Low
Mount Vernon,WA,110.1,High
Muncie,IN,83.7,Low
Muskegon,MI,87.7,Low
Muskogee,OK,81.3,Low
Myrtle Beach,SC,94.7,Medium
Nacogdoches,TX,89.6,Low
Napa,CA,149.6,High
Naples,FL,109.4,High
Nashville,TN,100.1,High
New Bern,NC,90.2,Medium
New Castle,PA,88.1,Low
New Haven,CT,107.7,High
New Orleans,LA,92.4,Medium
New Philadelphia,OH,88.9,Low
New York,NY,128.0,High
Niles,MI,89.7,Low
North Wilkesboro,NC,90.5,Medium
Oak Harbor,WA,125.2,High
Ocala,FL,94.5,Medium
Ocean City,NJ,109.5,High
Odessa,TX,92.7,Medium
Ogden,UT,99.8,Medium
Ogdensburg,NY,88.3,Low
Oklahoma City,OK,87.3,Low
Olean,NY,89.0,Low
Olympia,WA,110.9,High
Omaha,NE,92.9,Medium
Opelousas,LA,86.1,Low
Orangeburg,SC,85.3,Low
Orlando,FL,101.4,High
Oshkosh,WI,89.0,Low
Ottawa,IL,86.6,Low
Owensboro,KY,86.6,Low
Owosso,MI,84.8,Low
Paducah,KY,85.7,Low
Palatka,FL,93.2,Medium
Panama City,FL,101.9,High
Parkersburg,WV,84.7,Low
Pensacola,FL,97.9,Medium
Peoria,IL,86.7,Low
Philadelphia,PA,103.4,High
Phoenix,AZ,104.3,High
Pine Bluff,AR,82.3,Low
Pittsburgh,PA,93.1,Medium
Pittsfield,MA,106.4,High
Plattsburgh,NY,93.7,Medium
Pocatello,ID,90.8,Medium
Port Angeles,WA,109.1,High
Port St. Lucie,FL,101.1,High
Portland,ME,113.0,High
Portland,OR,116.5,High
Portsmouth,OH,84.7,Low
Pottsville,PA,87.0,Low
Prescott,AZ,104.6,High
Providence,RI,111.5,High
Provo,UT,100.9,High
Pueblo,CO,92.2,Medium
Punta Gorda,FL,100.3,High
Quincy,IL,87.3,Low
Racine,WI,90.9,Medium
Raleigh,NC,99.7,Medium
Rapid City,SD,94.2,Medium
Reading,PA,96.0,Medium
Redding,CA,108.7,High
Reno,NV,107.4,High
Richmond,IN,84.2,Low
Richmond,VA,99.2,Medium
Richmond,KY,90.8,Medium
Riverside,CA,116.1,High
Roanoke Rapids,NC,83.1,Low
Roanoke,VA,94.1,Medium
Rochester,MN,97.3,Medium
Rochester,NY,96.6,Medium
Rockford,IL,87.2,Low
Rocky Mount,NC,88.3,Low
Rome,GA,89.6,Low
Roseburg,OR,100.8,High
Roswell,NM,86.3,Low
Russellville,AR,85.5,Low
Sacramento,CA,120.3,High
Saginaw,MI,84.0,Low
Salem,OR,105.8,High
Salinas,CA,138.3,High
Salisbury,MD,103.2,High
Salt Lake City,UT,105.9,High
San Angelo,TX,90.7,Medium
San Antonio,TX,92.7,Medium
San Diego,CA,136.2,High
San Francisco,CA,178.6,High
San Jose,CA,173.5,High
San Luis Obispo,CA,136.1,High
Sandusky,OH,90.8,Medium
Santa Cruz,CA,163.9,High
Santa Fe,NM,105.1,High
Santa Rosa,CA,141.7,High
Savannah,GA,97.3,Medium
Scranton,PA,91.3,Medium
Searcy,AR,85.4,Low
Seattle,WA,124.6,High
Sebring,FL,93.1,Medium
Seneca,SC,94.0,Medium
Sevierville,TN,103.5,High
Shawnee,OK,82.4,Low
Sheboygan,WI,89.7,Low
Shelby,NC,88.1,Low
Shelton,WA,109.6,High
Sherman,TX,91.3,Medium
Show Low,AZ,101.9,High
Shreveport,LA,85.8,Low
Sierra Vista,AZ,93.2,Medium
Sioux City,IA,87.1,Low
Sioux Falls,SD,92.8,Medium
Somerset,PA,89.3,Low
South Bend,IN,87.2,Low
Spartanburg,SC,91.0,Medium
Spokane,WA,100.4,High
Springfield,IL,87.5,Low
